"Local Time";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.12.2018 15:00";"5.8";"765.4";"768.5";"-1.2";"53";"Wind blowing from the north";"6";"";"10";"50%.";"Clouds generally dissolving or becoming less developed. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-3.1";"Trace of precipitation";"6";"";"";"";"";
"26.12.2018 12:00";"3.6";"766.6";"769.6";"0.9";"78";"Wind blowing from the north-northeast";"4";"";"10";"60%.";"Clouds generally dissolving or becoming less developed. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"0.0";"";"";"";"";"";"";
"26.12.2018 09:00";"2.8";"765.7";"768.8";"1.4";"72";"Wind blowing from the north";"7";"";"";"60%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"2.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-1.8";"0.2";"12";"Surface of ground moist.";"1.0";"";"";
"26.12.2018 06:00";"3.5";"764.3";"767.4";"0.0";"70";"Wind blowing from the north";"7";"";"13";"90  or more, but not 100%";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-1.5";"";"";"";"";"";"";
"26.12.2018 03:00";"4.8";"764.3";"767.4";"0.6";"62";"Wind blowing from the north";"4";"";"11";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-2.0";"Trace of precipitation";"6";"";"";"";"";
"26.12.2018 00:00";"3.4";"763.7";"766.8";"0.4";"82";"Wind blowing from the north";"6";"";"11";"90  or more, but not 100%";"Shower(s) of rain. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"0.5";"";"";"";"";"";"";
"25.12.2018 21:00";"5.3";"763.3";"766.3";"1.1";"61";"Wind blowing from the north-northeast";"6";"";"11";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Shower(s).";"Rain.";"";"7.3";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-1.6";"3.0";"12";"";"";"";"";
"25.12.2018 18:00";"5.4";"762.2";"765.3";"0.8";"68";"Wind blowing from the north-northeast";"5";"";"11";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Shower(s).";"Rain.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-0.1";"";"";"";"";"";"";
"25.12.2018 15:00";"5.9";"761.4";"764.5";"-0.5";"74";"Wind blowing from the north-east";"4";"";"13";"90  or more, but not 100%";"Rain shower(s), slight. ";"Shower(s).";"Shower(s).";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"1.6";"3.0";"6";"";"";"";"";
"25.12.2018 12:00";"4.5";"761.9";"764.9";"0.9";"87";"Wind blowing from the north";"6";"";"13";"90  or more, but not 100%";"Rain shower(s), slight. ";"Shower(s).";"Shower(s).";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.5";"";"";"";"";"";"";
"25.12.2018 09:00";"4.7";"761.0";"764.0";"2.5";"81";"Wind blowing from the north";"7";"";"";"100%.";"Shower(s) of rain and snow mixed, slight. ";"Shower(s).";"Shower(s).";"4.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"100%.";"300-600";"";"";"10.0";"1.7";"20.0";"12";"Surface of ground wet (standing water in small or large pools on surface).";"3.0";"";"";
"25.12.2018 06:00";"6.6";"758.5";"761.5";"1.9";"85";"Wind blowing from the north";"7";"";"15";"90  or more, but not 100%";"Rain shower(s), slight. ";"Shower(s).";"Shower(s).";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"300-600";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"4.3";"";"";"";"";"";"";
"25.12.2018 03:00";"10.3";"756.6";"759.6";"1.2";"86";"Wind blowing from the north-northwest";"6";"";"15";"90  or more, but not 100%";"Rain shower(s), slight. ";"Shower(s).";"Shower(s).";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"8.0";"8.0";"6";"";"";"";"";
"25.12.2018 00:00";"12.6";"755.4";"758.4";"0.0";"73";"Wind blowing from the south-southwest";"8";"";"15";"70 � 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20�30%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"7.9";"";"";"";"";"";"";
"24.12.2018 21:00";"12.6";"755.4";"758.4";"-0.4";"73";"Wind blowing from the south-southwest";"9";"";"12";"60%.";" ";"";"";"";"12.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20�30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"7.9";"No precipitation";"12";"";"";"";"";
"24.12.2018 18:00";"12.7";"755.8";"758.8";"";"69";"Wind blowing from the south-southwest";"8";"";"12";"70 � 80%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"7.2";"";"";"";"";"";"";
